2022-09-23 09:36:40,555 - maincontroller.py - line:365 - INFO| [+] AGX API is running [2022-09-23 09:36:40.555714]
2022-09-23 09:37:09,539 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161206_0005_Z_航点5.JPG
2022-09-23 09:37:15,409 - maincontroller.py - line:68 - INFO| DJI_20220905161206_0005_Z_航点5.JPG下载成功
2022-09-23 09:37:15,412 - sql_operations.py - line:21 - INFO| 开始向航线表插入数据
2022-09-23 09:37:15,428 - sql_operations.py - line:29 - INFO| 航线表数据插入成功
2022-09-23 09:37:15,432 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-23 09:37:15,436 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-23 09:37:15,445 - maincontroller.py - line:79 - INFO| 开始执行自动对比功能
2022-09-23 09:37:17,671 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161146_0004_Z_航点4.JPG
2022-09-23 09:37:22,867 - maincontroller.py - line:68 - INFO| DJI_20220905161146_0004_Z_航点4.JPG下载成功
2022-09-23 09:37:22,874 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:37:22,880 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-23 09:37:22,912 - maincontroller.py - line:79 - INFO| 开始执行自动对比功能
2022-09-23 09:37:25,158 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161132_0003_Z_航点3.JPG
2022-09-23 09:37:30,211 - maincontroller.py - line:68 - INFO| DJI_20220905161132_0003_Z_航点3.JPG下载成功
2022-09-23 09:37:30,217 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:37:30,223 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-23 09:37:30,258 - maincontroller.py - line:79 - INFO| 开始执行自动对比功能
2022-09-23 09:37:33,466 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161117_0002_Z_航点2.JPG
2022-09-23 09:37:42,943 - maincontroller.py - line:68 - INFO| DJI_20220905161117_0002_Z_航点2.JPG下载成功
2022-09-23 09:37:42,949 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:37:42,955 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-23 09:37:43,004 - maincontroller.py - line:79 - INFO| 开始执行自动对比功能
2022-09-23 09:37:46,522 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161104_0001_Z_航点1.JPG
2022-09-23 09:37:53,039 - maincontroller.py - line:68 - INFO| DJI_20220905161104_0001_Z_航点1.JPG下载成功
2022-09-23 09:37:53,044 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:37:53,050 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-23 09:37:53,099 - maincontroller.py - line:79 - INFO| 开始执行自动对比功能
2022-09-23 09:41:39,566 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-23 09:41:39.566715]
2022-09-23 09:42:20,204 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161500_0005_Z_航点5.JPG
2022-09-23 09:42:28,808 - maincontroller.py - line:68 - INFO| DJI_20220905161500_0005_Z_航点5.JPG下载成功
2022-09-23 09:42:28,816 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:42:28,825 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-23 09:42:28,839 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-23 09:42:28,857 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-23 09:42:31,792 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161439_0004_Z_航点4.JPG
2022-09-23 09:42:37,454 - maincontroller.py - line:68 - INFO| DJI_20220905161439_0004_Z_航点4.JPG下载成功
2022-09-23 09:42:37,460 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-23 09:42:37,466 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-23 09:42:37,492 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-23 09:42:39,754 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161426_0003_Z_航点3.JPG
2022-09-23 09:42:45,245 - maincontroller.py - line:68 - INFO| DJI_20220905161426_0003_Z_航点3.JPG下载成功
2022-09-23 09:42:45,252 - sql_operations.py - line:31 - INFO| 航线数据已存在
